"time","level","v1","v2","q_in","q_out","v1_cmd","v2_cmd"
81.0,300.3899999999997,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
81.5,302.2899999999997,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
82.0,304.18999999999966,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
82.5,306.08999999999963,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
83.0,307.9899999999996,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
83.5,309.8899999999996,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
84.0,311.78999999999957,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
84.5,313.68999999999954,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
85.0,315.5899999999995,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
85.5,317.4899999999995,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
86.0,319.3899999999995,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
86.5,321.28999999999945,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
87.0,323.18999999999943,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
87.5,325.0899999999994,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
88.0,326.9899999999994,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
88.5,328.88999999999936,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
89.0,330.78999999999934,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
89.5,332.6899999999993,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
90.0,334.5899999999993,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
90.5,336.48999999999927,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
91.0,338.38999999999925,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
91.5,340.2899999999992,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
92.0,342.1899999999992,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
92.5,344.0899999999992,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
93.0,345.98999999999916,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
93.5,347.88999999999913,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
94.0,349.7899999999991,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
94.5,351.6899999999991,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
95.0,353.58999999999907,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
95.5,355.48999999999904,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
96.0,357.389999999999,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
96.5,359.289999999999,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
97.0,361.189999999999,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
97.5,363.08999999999895,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
98.0,364.98999999999893,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
98.5,366.8899999999989,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
99.0,368.7899999999989,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
99.5,370.68999999999886,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
100.0,372.58999999999884,0.9999999999999978,0.0,3.7999999999999914,0.0,1,0
100.5,374.29132220831974,0.9999999999999978,0.22367037914356222,3.7999999999999914,0.6965315745472415,1,1
101.0,375.6881299475073,0.9999999999999978,0.39731231978089954,3.7999999999999914,1.239621955956593,1,1
101.5,376.84758597371166,0.9999999999999978,0.5321157017206598,3.7999999999999914,1.6628185418298809,1,1
102.0,377.822129300621,0.9999999999999978,0.6367675601121193,3.7999999999999914,1.99246258878422,1,1
102.5,378.65265405661785,0.9999999999999978,0.7180118976590828,3.7999999999999914,2.249184954852096,1,1
103.0,379.3710218623759,0.9999999999999978,0.7810842834236493,3.7999999999999914,2.4491129237198233,1,1
103.5,380.0020393130085,0.9999999999999978,0.8300492447507664,3.7999999999999914,2.6048347094553614,1,1
104.0,380.56500961862866,0.9999999999999978,0.8680621946130972,3.7999999999999914,2.7261649543187634,1,1
104.5,381.0749472349391,0.9999999999999978,0.8975727735673552,3.7999999999999914,2.8207491512625356,1,1
105.0,381.543526967793,0.9999999999999978,0.9204827101381684,3.7999999999999914,2.8945390384572796,1,1
105.5,381.97982457273264,0.9999999999999978,0.9382683725100329,3.7999999999999914,2.9521654153631296,1,1
106.0,382.39089404114355,0.9999999999999978,0.952075909035863,3.7999999999999914,2.997229862792097,1,1
106.5,382.78221721763543,0.9999999999999978,0.9627951086319221,3.7999999999999914,3.0325326182762207,1,1
107.0,383.15805376166594,0.9999999999999978,0.9711167407902151,3.7999999999999914,3.060250346826374,1,1
107.5,383.5217134085574,0.9999999999999978,0.9775770703285696,3.7999999999999914,3.082074684455063,1,1
108.0,383.8757677013541,0.9999999999999978,0.9825924155096878,3.7999999999999914,3.09932012669141,1,1
108.5,384.2222146021319,0.9999999999999978,0.9864859765326097,3.7999999999999914,3.1130079946933593,1,1
109.0,384.56260644027657,0.9999999999999978,0.989508663285316,3.7999999999999914,3.123931753071876,1,1
109.5,384.8981493459657,0.9999999999999978,0.991855264546012,3.7999999999999914,3.1327078028660695,1,1
110.0,385.22978051313316,0.9999999999999978,0.9936770006130297,3.7999999999999914,3.139814968615314,1,1
110.5,385.5582282288514,0.9999999999999978,0.9950912682832378,3.7999999999999914,3.145625189472409,1,1
111.0,385.8840585092371,0.9999999999999978,0.9961892061674401,3.7999999999999914,3.1504273697164327,1,1
